fieldname,required,data_type,field_length,unique
ObligationsDeliveredOrdersUnpaidPriorFiscalYearUpwardAdjustmentsBalance_CPB,True,float,100,False
ObligationsDeliveredOrdersUnpaidPriorFiscalYearUpwardAdjustmentsBalance_CPE,True,float,100,False
OutlaysAmountTotal_FYB,True,float,100,False
OutlaysAmountTotal_CPB,True,float,100,False
OutlaysAmountTotal_CPE,True,float,100,False
OutlaysUndeliveredOrdersPrepaidTotal_FYB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidTotal_CPB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidTotal_CPE,True,float,100,False
OutlaysUndeliveredOrdersPrepaidCurrentFiscalYearRollingBalance_FYB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidCurrentFiscalYearRollingBalance_CPB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidCurrentFiscalYearRollingBalance_CPE,True,float,100,False
ChangesinOutlaysUndeliveredOrdersPrepaidCurrentFiscalYearRollingBalanceIncreases,True,float,100,False
ChangesinOutlaysUndeliveredOrdersPrepaidCurrentFiscalYearRollingBalanceDecreases,True,float,100,False
OutlaysUndeliveredOrdersPrepaidNetTransferredBalance_CPB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidNetTransferredBalance_CPE,True,float,100,False
ChangesinOutlaysUndeliveredOrdersPrepaidTransferredFromOtherAgenciesIncreases,True,float,100,False
ChangesinOutlaysUndeliveredOrdersPrepaidTransferredtoOtherAgenciesDecreases,True,float,100,False
OutlaysUndeliveredOrdersPrepaidPriorFiscalYearRefundsCollectedBalance_CPB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidPriorFiscalYearRefundsCollectedBalance_CPE,True,float,100,False
OutlaysUndeliveredOrdersPrepaidPriorFiscalYearUpwardAdjustmentsBalance_CPB,True,float,100,False
OutlaysUndeliveredOrdersPrepaidPriorFiscalYearUpwardAdjustmentsBalance_CPE,True,float,100,False
OutlaysDeliveredOrdersPaidTotal_CPB,True,float,100,False
OutlaysDeliveredOrdersPaidTotal_CPE,True,float,100,False
OutlaysDeliveredOrdersPaidCurrentFiscalYearRollingBalance_CPB,True,float,100,False
OutlaysDeliveredOrdersPaidCurrentFiscalYearRollingBalance_CPE,True,float,100,False
ChangesinOutlaysDeliveredOrdersPaidCurrentFiscalYearRollingBalanceIncreases,True,float,100,False
ChangesinOutlaysDeliveredOrdersPaidCurrentFiscalYearRollingBalanceDecreases,True,float,100,False
OutlaysDeliveredOrdersPaidPriorFiscalYearRecoveriesBalance_CPB,True,float,100,False
OutlaysDeliveredOrdersPaidPriorFiscalYearRecoveriesBalance_CPE,True,float,100,False
OutlaysDeliveredOrdersPaidPriorFiscalYearUpwardAdjustmentsBalance_CPB,True,float,100,False
OutlaysDeliveredOrdersPaidPriorFiscalYearUpwardAdjustmentsBalance_CPE,True,float,100,False
